AXP,American Express Co,Finance
AMGN,Amgen Inc,Biotech
AAPL,Apple Inc,Technology
BA,Boeing Co,Aerospace
CAT,Caterpillar Inc,Construction
CSCO,Cisco Systems Inc,Communications
CVX,Chevron Corp,Energy
GS,Goldman Sachs Group Inc,Investment
HD,Home Depot Inc,Home Improvement
HON,Honeywell International Inc,Conglomerate
IBM,International Business Machines Corp,Technology
INTC,Intel Corp,Semiconductor
JNJ,Johnson & Johnson,Pharmaceutical
KO,Coca-Cola Co,Consumer Beverage
JPM,JPMorgan Chase & Co,Finance
MCD,McDonalds Corp,Fast Food
MMM,3M Co,Industrial Manufacturing
MRK,Merck & Co Inc,Pharmaceutical
MSFT,Microsoft Corp,Technology
NKE,Nike Inc,Consumer Apparel
PG,Procter & Gamble Co,Consumer Goods
TRV,Travelers Companies Inc,Insurance
UNH,UnitedHealth Group Inc,Healthcare
CRM,Salesforce Inc,Software
VZ,Verizon Communications Inc,Communications
V,Visa Inc,Finance
WBA,Walgreens Boots Alliance Inc,
WMT,Walmart Inc,Pharmaceutical
DIS,Walt Disney Co,Entertainment
DOW,Dow Inc,Chemical